Date, Lights Per Day, PD
5/18/2016,367,8
5/7/2016,78,5
12/10/2011,109,7
1/26/2017,1,nan
4/21/2015,279,8
1/23/2015,91,12
9/7/2015,195,15
11/28/2013,28,18
7/20/2017,79,14
9/3/2010,1,17
8/11/2014,213,5
4/3/2011,181,25
6/9/2011,62,10
2/13/2015,99,10
7/30/2012,23,1
3/2/2011,52,7
4/9/2013,43,4
11/9/2013,30,12
11/20/2011,440,8
2/22/2013,26,4
12/23/2010,134,8
3/29/2015,109,7
8/4/2015,674,4
3/21/2012,1,nan
12/31/2016,1,nan
9/4/2016,57,1
11/14/2013,57,25
3/11/2017,1,nan
3/5/2011,69,9
9/15/2016,119,17
10/6/2011,125,14
6/24/2014,102,5
7/15/2016,1,nan
3/21/2014,3,0
8/6/2017,1,nan
1/21/2012,59,10
7/25/2017,118,12
10/1/2014,1,nan
9/16/2014,10,0
12/12/2014,1,nan
3/2/2016,258,22
10/1/2015,275,25
7/14/2013,25,3
9/15/2012,79,3
3/9/2017,191,7
1/29/2011,65,8
10/21/2012,23,16
9/8/2011,170,5
4/13/2005,1,4
6/6/2015,89,2
8/21/2013,23,24
2/3/2012,103,15
10/30/2016,139,5
11/3/2013,35,11
7/9/2012,72,9
1/13/2011,53,7
11/5/2013,1,nan
9/1/2016,160,2
11/21/2014,165,11
11/19/2012,80,8
8/22/2016,3,31
9/29/2012,1,nan
1/19/2008,1,4
7/17/2015,1,nan
2/28/2015,62,10
8/9/2012,82,3
6/16/2016,1,nan
2/16/2012,80,15
12/20/2015,20,20
1/20/2012,153,11
8/10/2017,1,nan
11/8/2010,25,5
10/2/2016,139,7
12/3/2016,1,nan
5/14/2011,98,15
8/22/2015,364,22
2/7/2015,136,11
5/13/2011,30,21
10/11/2011,159,10
3/15/2015,235,8
6/1/2011,109,15
11/20/2015,147,9
10/17/2011,35,2
1/31/2012,61,24
5/20/2015,1,nan
7/20/2013,10,19
2/29/2016,1,nan
6/12/2014,70,9
12/28/2011,83,9
5/8/2004,1,4
3/1/2015,106,9
5/7/2014,68,9
12/5/2011,35,2
2/14/2014,38,12
10/5/2015,231,25
6/22/2017,15,20
1/28/2005,1,4
5/26/2011,50,5
8/10/2014,8,0
9/13/2015,1,nan
5/29/2013,17,17
8/23/2010,2,16
4/10/2013,10,18
1/16/2012,50,1
1/26/2017,114,16
1/5/2007,1,4
11/26/2014,56,14
5/28/2016,186,22
2/29/2012,103,12
12/1/2012,7,17
8/27/2017,41,2
8/29/2012,101,5
8/15/2016,135,19
2/2/2015,38,18
5/5/2016,101,15
9/19/2015,452,22
4/16/2017,98,5
11/19/2014,37,19
8/5/2015,13,0
8/8/2017,71,18
7/15/2017,94,5
9/13/2008,1,4
2/27/2017,26,24
8/8/2013,26,25
8/29/2011,138,10
2/9/2012,10,20
8/30/2012,5,20
5/29/2011,100,15
3/16/2014,34,19
8/5/2011,93,14
6/18/2016,196,6
3/29/2017,1,nan
2/7/2012,4,21
5/18/2017,1,nan
8/11/2011,418,8
11/4/2011,153,7
4/6/2011,83,5
3/11/2014,66,5
1/24/2015,117,25
9/23/2015,380,6
8/18/2012,137,8
5/19/2015,152,2
7/12/2017,99,5
4/10/2012,68,8
5/28/2014,80,9
2/29/2016,1,31
9/10/2014,1,nan
2/24/2013,33,25
1/5/2015,134,16
5/8/2015,31,1
8/21/2010,1,1
2/23/2011,34,1
4/27/2013,1,nan
12/4/2016,212,10
8/6/2012,2,0
4/30/2011,234,4
7/5/2013,15,24
1/31/2013,13,3
6/11/2011,81,19
11/4/2010,7,19
3/2/2014,2,0
11/29/2014,7,0
7/13/2015,169,7
9/9/2014,81,17
3/7/2017,1,nan
12/4/2012,34,15
10/2/2014,48,24
8/8/2012,35,18
9/5/2017,170,9
6/13/2017,1,nan
8/29/2013,15,25
8/28/2012,46,10
11/23/2015,442,22
1/25/2011,64,17
11/15/2010,9,3
12/2/2015,1,nan
12/2/2016,59,24
1/24/2007,1,4
3/13/2013,1,20
7/30/2017,114,25
10/9/2016,159,16
3/17/2011,55,10
9/24/2015,1,nan
3/17/2013,1,nan
2/22/2014,35,3
3/19/2017,108,22
9/11/2014,149,3
9/9/2015,286,3
2/8/2013,27,16
4/19/2017,197,7
4/26/2015,200,16
3/6/2016,196,3
6/18/2015,77,2
8/3/2011,180,25
3/23/2016,221,16
8/5/2015,208,7
3/6/2011,141,8
4/23/2015,109,12
12/8/2010,1,0
12/26/2012,16,10
12/11/2016,20,0
4/15/2015,68,19
6/27/2014,1,nan
11/12/2014,232,16
5/25/2013,15,11
7/24/2011,354,16
3/28/2012,14,2
7/16/2013,2,0
9/28/2012,1,nan
9/3/2011,1,31
9/7/2011,226,25
3/5/2016,171,12
1/31/2015,75,12
8/1/2014,140,11
6/25/2012,32,3
10/26/2012,121,22
7/19/2014,1,31
10/23/2013,1,0
8/26/2004,1,4
8/13/2010,2,16
2/23/2012,33,10
4/5/2016,73,17
10/19/2014,174,11
10/9/2011,475,8
5/24/2015,286,8
5/29/2016,1,nan
4/3/2017,81,14
8/21/2014,71,2
5/12/2014,63,10
3/11/2012,62,15
9/14/2011,101,15
6/22/2011,82,10
3/20/2012,78,8
11/21/2010,39,7
8/21/2011,58,12
7/29/2011,130,17
10/8/2011,24,2
11/14/2012,31,13
8/1/2011,177,25
4/2/2017,103,16
12/26/2010,8,2
8/13/2011,93,24
11/11/2010,31,6
6/10/2013,15,7
10/24/2015,60,1
4/7/2016,75,15
2/4/2013,32,22
5/12/2011,269,16
7/16/2017,85,12
12/10/2016,1,nan
6/22/2013,16,11
2/5/2007,1,4
12/9/2010,13,21
7/27/2011,6,0
11/13/2015,1,nan
4/25/2004,1,4
4/17/2013,5,2
2/2/2015,1,nan
6/14/2016,206,6
4/12/2016,1,nan
9/19/2017,165,7
4/28/2015,7,24
3/15/2013,12,24
11/25/2015,237,3
3/19/2011,157,4
2/23/2017,1,nan
12/13/2010,42,9
5/13/2014,21,19
7/29/2015,45,19
8/22/2010,1,4
10/26/2011,86,20
8/31/2011,163,9
4/4/2014,40,11
1/8/2014,20,25
10/15/2012,46,19
6/15/2013,8,3
12/9/2016,3,31
1/6/2011,44,18
12/2/2012,26,15
6/23/2016,106,16
4/15/2013,25,6
10/10/2011,327,22
11/5/2015,112,15
5/1/2015,218,4
2/9/2014,20,16
1/6/2013,4,13
5/20/2012,9,20
8/26/2012,53,14
11/9/2011,118,12
6/16/2014,61,12
10/16/2016,142,2
3/10/2017,35,24
4/11/2017,174,6
8/7/2017,136,9
4/7/2016,1,nan
1/17/2017,177,25
10/25/2015,185,5
9/23/2011,1,31
3/22/2014,25,1
2/11/2006,1,4
7/4/2016,72,19
5/18/2011,1,0
7/9/2011,381,16
9/3/2014,223,9
7/18/2017,32,24
10/25/2016,230,12
1/18/2016,1,nan
8/18/2010,1,5
9/17/2014,11,0
7/3/2011,299,22
4/16/2012,20,12
4/22/2017,1,nan
11/15/2012,41,15
6/3/2011,144,25
3/25/2016,64,15
10/15/2009,1,4
6/12/2017,104,3
6/14/2012,27,9
12/30/2016,132,5
6/8/2017,110,5
12/3/2015,148,17
1/7/2017,243,4
12/15/2011,232,25
7/26/2016,261,7
2/11/2016,479,8
3/5/2017,68,19
7/28/2016,1,nan
8/16/2012,3,20
10/22/2015,6,0
9/16/2014,92,19
3/13/2008,1,4
5/22/2017,120,11
12/23/2011,144,11
10/6/2013,56,5
7/23/2011,99,19
4/29/2013,70,8
10/27/2014,121,9
9/24/2017,58,1
5/12/2015,289,8
11/5/2011,425,8
8/13/2012,62,15
10/19/2012,27,13
1/29/2015,110,3
5/11/2005,1,4
6/23/2013,17,9
11/22/2012,48,8
11/29/2011,287,25
10/9/2012,71,14
2/17/2011,81,6
3/2/2017,487,8
10/29/2015,243,12
6/28/2014,75,25
5/30/2011,32,20
6/3/2012,57,8
5/19/2013,12,16
3/2/2015,132,6
10/7/2016,105,24
6/9/2013,36,4
9/11/2015,195,12
6/6/2013,2,18
10/12/2013,2,0
5/13/2013,11,3
3/20/2013,9,24
8/10/2012,18,24
10/22/2011,113,15
9/9/2011,132,7
10/12/2012,20,2
3/5/2012,107,25
6/19/2014,20,14
11/1/2013,6,19
3/13/2012,60,18
2/25/2016,50,1
7/20/2015,1,nan
6/30/2012,20,1
7/31/2011,51,18
5/27/2012,66,8
10/8/2015,91,11
3/1/2013,8,14
9/14/2012,39,17
9/9/2016,1,nan
5/1/2016,219,11
8/2/2015,140,12
2/17/2014,113,6
9/29/2016,339,22
12/27/2015,35,20
4/14/2015,235,3
9/16/2011,122,11
12/21/2016,1,nan
3/3/2017,53,1
4/16/2011,43,23
4/5/2015,76,10
1/26/2012,131,17
1/8/2013,17,19
1/7/2014,36,10
6/17/2016,62,2
9/24/2013,10,20
2/27/2017,1,nan
1/12/2015,123,5
1/3/2014,16,11
8/25/2016,547,4
4/28/2009,1,4
11/4/2016,227,7
2/24/2017,121,14
1/21/2015,44,1
11/20/2012,75,5
3/30/2013,23,22
4/21/2015,58,14
4/1/2016,31,1
9/21/2017,57,1
1/14/2013,7,2
7/21/2010,1,25
8/17/2016,337,10
6/13/2014,59,24
3/15/2016,1,nan
8/6/2011,102,5
5/23/2011,68,7
5/20/2011,25,21
9/20/2011,232,25
3/15/2012,56,15
6/4/2016,35,24
1/6/2017,252,6
6/20/2011,66,18
12/5/2013,36,1
10/14/2010,2,16
9/21/2016,1,nan
6/30/2011,302,22
11/30/2012,17,16
7/26/2011,177,6
7/7/2012,26,19
9/17/2016,1,nan
11/2/2012,35,7
10/10/2012,37,3
8/3/2013,13,19
2/3/2016,5,0
7/19/2017,49,19
3/9/2011,103,17
9/13/2015,60,19
6/17/2006,1,4
3/13/2011,37,3
7/14/2016,1,nan
11/30/2011,97,15
1/16/2016,101,18
8/14/2016,337,25
5/27/2016,1,nan
2/25/2014,15,20
3/26/2017,99,3
4/18/2017,70,18
10/6/2012,21,18
1/21/2016,7,0
6/28/2015,112,14
6/7/2017,124,11
6/21/2015,7,0
11/27/2014,189,6
1/2/2016,1,nan
6/10/2017,57,1
1/21/2016,248,3
11/29/2012,63,22
7/10/2011,110,24
3/13/2016,1,31
2/15/2016,487,8
6/13/2016,1,nan
1/23/2015,46,17
11/9/2015,165,17
9/19/2016,1,nan
8/9/2014,254,6
12/18/2010,1,31
7/20/2017,42,19
5/6/2011,10,2
4/3/2011,10,2
1/15/2012,49,1
2/7/2014,47,5
7/12/2014,48,19
10/25/2011,91,12
12/19/2015,316,16
7/14/2017,219,22
10/31/2016,187,12
4/29/2015,68,2
12/4/2011,35,2
9/26/2014,459,8
4/22/2013,11,25
4/12/2014,128,7
3/12/2016,1,nan
9/28/2015,10,0
9/20/2012,118,11
7/31/2015,10,0
12/25/2016,245,22
7/5/2013,19,10
7/5/2016,74,19
10/27/2016,1,nan
4/5/2012,78,14
5/23/2013,15,5
12/14/2014,7,0
1/15/2014,17,11
6/10/2015,309,8
3/29/2013,1,0
9/13/2016,1,nan
4/24/2016,1,nan
4/21/2014,3,0
12/23/2013,123,22
1/29/2011,16,23
6/8/2016,317,22
5/3/2017,50,17
9/30/2014,189,12
4/6/2009,1,4
1/27/2013,14,5
9/24/2011,147,11
6/18/2016,154,3
12/14/2016,205,9
12/9/2012,12,2
9/5/2012,2,31
7/26/2017,143,10
1/6/2016,386,4
8/18/2011,91,15
4/9/2015,47,18
12/4/2010,97,16
5/28/2015,62,19
11/21/2014,16,20
5/24/2013,27,4
1/11/2017,1,31
3/17/2012,41,13
9/29/2015,497,4
6/26/2015,1,nan
3/4/2014,24,1
2/5/2013,7,19
7/23/2012,31,18
12/17/2012,23,9
5/15/2015,142,3
10/14/2015,156,9
3/20/2015,92,12
3/16/2017,1,nan
7/31/2012,75,7
6/22/2014,365,8
12/23/2015,352,4
1/11/2012,83,18
5/27/2015,41,18
1/19/2017,214,25
6/26/2015,208,6
8/3/2011,229,22
11/16/2011,434,22
12/13/2011,78,10
5/12/2011,278,4
3/26/2016,199,16
6/10/2012,40,6
12/16/2014,79,2
5/15/2015,115,15
11/8/2016,62,15
7/31/2016,244,3
4/20/2010,1,4
9/24/2015,189,11
3/1/2015,51,18
9/27/2014,82,14
1/25/2013,7,24
11/24/2011,92,9
10/2/2010,4,11
7/2/2012,3,20
11/10/2016,3,31
5/20/2014,46,15
5/6/2016,139,16
6/30/2016,15,20
12/1/2016,221,7
11/29/2015,111,1
9/15/2010,2,5
6/9/2008,1,4
8/16/2016,24,24
6/14/2015,121,5
4/28/2014,315,8
5/27/2009,1,4
12/19/2016,183,7
11/26/2015,1,nan
9/28/2013,82,25
12/2/2016,1,nan
5/22/2016,1,nan
6/16/2015,68,18
12/1/2015,438,22
4/18/2017,153,25
10/2/2016,1,nan
9/25/2016,184,10
8/22/2012,159,8
10/27/2015,1,nan
6/3/2013,37,22
6/17/2016,1,nan
9/6/2015,247,9
12/7/2011,49,23
7/18/2016,407,22
8/7/2011,401,16
8/20/2010,1,17
2/27/2017,82,5
3/11/2016,187,16
8/8/2013,69,6
2/6/2013,3,20
8/30/2012,55,9
4/2/2016,88,9
9/25/2017,67,17
3/16/2014,203,8
5/14/2014,83,3
7/8/2011,182,25
3/22/2015,54,18
10/5/2014,400,8
9/2/2015,110,2
11/4/2014,222,6
10/31/2011,180,10
1/24/2016,260,6
7/21/2017,62,2
9/16/2015,139,10
3/3/2014,25,11
12/18/2013,28,14
1/14/2014,17,11
9/10/2017,115,11
12/12/2012,48,6
5/3/2005,1,4
7/21/2015,564,4
9/11/2012,58,10
1/3/2016,1,nan
5/28/2014,20,18
7/15/2011,68,13
11/28/2012,58,11
12/29/2011,48,23
3/14/2015,31,1
12/5/2015,77,5
12/6/2012,59,22
12/12/2010,30,13
8/26/2013,17,14
12/20/2014,61,14
8/6/2014,123,16
6/10/2015,1,nan
2/2/2016,218,3
10/7/2006,1,4
8/15/2012,43,17
12/23/2011,344,16
1/25/2012,181,8
12/28/2015,100,2
1/3/2017,1,nan
7/10/2016,231,6
5/5/2011,98,9
2/11/2011,13,20
1/12/2011,121,15
2/5/2017,163,6
3/7/2017,551,8
10/25/2016,63,17
2/19/2013,42,10
12/5/2016,7,20
11/16/2013,115,22
1/4/2012,66,24
1/25/2011,58,10
7/2/2015,184,7
2/16/2014,113,6
9/28/2010,1,13
12/19/2011,70,1
12/28/2016,1,nan
7/22/2014,213,5
8/29/2014,133,11
12/31/2014,46,18
8/10/2013,15,2
6/1/2014,159,22
2/6/2005,1,4
2/13/2011,136,25
5/14/2013,42,6
10/27/2014,20,20
9/12/2017,155,25
10/2/2016,1,nan
3/18/2016,351,4
7/28/2016,148,17
4/26/2015,64,15
10/8/2010,8,6
3/23/2016,93,11
11/25/2016,1,nan
4/1/2017,115,22
2/25/2013,31,4
1/19/2013,6,24
7/12/2012,47,16
1/21/2017,86,15
1/27/2013,41,8
9/21/2014,135,7
12/24/2013,44,5
8/19/2016,562,4
7/24/2011,115,11
3/7/2014,31,10
4/6/2013,16,7
3/16/2006,1,4
7/11/2008,1,4
5/8/2012,1,23
12/6/2013,4,20
5/4/2014,64,5
5/5/2017,146,9
11/17/2016,73,15
10/28/2016,115,2
6/12/2012,15,17
7/1/2017,166,22
5/30/2016,54,2
7/15/2012,39,3
4/10/2016,97,17
10/9/2013,41,1
5/11/2012,33,17
8/13/2013,18,24
12/9/2015,139,18
7/21/2016,227,25
5/22/2012,18,18
2/23/2012,20,23
2/13/2013,18,19
10/9/2011,59,23
7/22/2011,183,6
5/12/2014,38,17
5/14/2015,134,16
10/4/2004,1,4
1/30/2017,275,4
3/19/2013,26,16
2/1/2013,3,20
3/16/2011,168,8
2/6/2015,97,12
7/25/2014,329,22
9/3/2015,2,31
2/4/2013,18,11
1/10/2017,153,11
2/4/2011,23,18
4/30/2015,168,6
6/22/2013,20,22
5/1/2013,38,22
2/17/2017,2,31
12/21/2010,60,19
8/29/2015,128,17
7/24/2015,1,nan
4/30/2012,26,24
4/25/2012,46,14
8/1/2012,4,20
1/28/2012,53,9
8/13/2012,1,nan
9/29/2009,1,4
9/15/2005,1,4
5/7/2015,108,12
11/26/2013,104,9
8/25/2016,30,24
3/15/2013,27,5
4/4/2017,147,25
4/3/2012,54,22
1/8/2015,126,5
4/15/2011,82,7
12/20/2016,453,8
12/8/2012,25,1
2/14/2013,2,13
10/30/2015,176,5
7/11/2016,1,nan
9/26/2007,1,4
12/19/2010,6,2
8/27/2014,283,22
1/10/2014,23,17
10/22/2016,131,18
11/27/2010,67,6
5/21/2011,100,17
10/18/2009,1,4
3/11/2013,2,13
9/25/2016,1,nan
3/20/2016,6,0
11/4/2013,1,nan
2/5/2014,20,1
6/27/2015,164,7
6/11/2013,14,17
3/31/2012,42,7
3/18/2011,127,6
9/21/2013,26,2
11/23/2011,127,24
7/3/2014,2,0
11/21/2013,78,6
3/22/2013,10,3
4/23/2017,36,17
12/22/2016,295,22
3/14/2011,53,10
3/11/2017,20,20
3/6/2012,84,11
11/18/2011,143,14
2/2/2011,10,20
2/4/2011,2,2
9/10/2016,3,31
12/9/2014,3,31
9/19/2013,16,14
5/18/2012,46,14
3/12/2012,139,25
2/4/2014,34,10
5/30/2013,1,nan
9/25/2010,6,10
10/16/2015,374,4
4/3/2015,100,5
10/23/2010,19,7
10/27/2010,3,12
9/5/2014,1,nan
10/12/2013,17,20
7/24/2013,29,10
1/27/2011,62,17
9/14/2015,248,11
4/30/2017,47,5
10/5/2012,44,25
5/25/2016,72,2
8/19/2015,107,14
2/23/2016,326,4
10/30/2016,210,10
12/23/2012,24,11
3/29/2015,1,nan
4/28/2011,42,13
2/7/2011,96,22
4/16/2012,60,17
12/31/2011,83,10
11/15/2012,48,16
10/18/2015,335,4
8/19/2017,19,0
5/25/2016,35,20
4/24/2017,36,19
6/14/2012,14,18
3/26/2015,93,10
9/17/2010,2,22
1/7/2017,1,nan
9/2/2011,110,14
1/2/2014,29,24
3/25/2012,81,17
10/14/2014,4,31
8/14/2015,419,4
4/24/2014,14,24
6/27/2016,99,18
3/4/2015,59,10
1/2/2011,83,7
11/27/2015,101,15
10/2/2014,1,nan
6/1/2017,147,22
1/25/2013,14,12
1/18/2009,1,4
1/16/2011,31,21
8/8/2015,127,14
12/24/2010,53,5
9/1/2012,7,24
7/26/2012,27,13
11/26/2012,127,4
10/8/2016,110,18
10/31/2016,275,4
12/19/2014,98,16
12/30/2015,387,4
10/17/2010,5,8
5/5/2013,16,7
11/5/2011,105,19
1/29/2012,78,13
10/3/2016,1,nan
9/10/2015,149,17
5/21/2006,1,4
2/5/2009,1,4
2/6/2006,1,4
7/8/2016,252,9
6/23/2016,101,18
7/25/2017,127,11
7/8/2012,69,8
4/27/2011,210,15
4/10/2017,1,nan
8/1/2012,219,8
12/17/2010,74,11
7/20/2015,1,nan
8/30/2016,315,7
11/14/2011,371,4
9/30/2012,55,3
7/19/2011,47,3
5/5/2014,51,15
4/21/2017,83,18
12/2/2014,61,2
5/16/2017,56,2
5/23/2012,34,14
4/4/2012,59,10
4/19/2013,2,13
11/10/2005,1,4
12/23/2014,3,31
4/7/2012,62,22
9/5/2011,55,20
12/21/2014,43,19
7/3/2016,86,18
11/25/2011,100,3
5/27/2012,13,19
12/22/2012,43,4
11/7/2015,156,10
8/28/2013,43,11
1/7/2013,1,0
1/31/2016,1,nan
6/18/2017,30,24
6/30/2015,1,nan
1/26/2017,19,0
6/12/2013,20,11
11/9/2016,119,5
9/17/2008,1,4
3/8/2012,80,11
10/11/2014,196,6
4/4/2011,86,5
7/21/2012,136,4
8/7/2015,199,9
12/4/2013,53,10
7/31/2014,97,16
8/8/2017,145,12
9/13/2013,48,25
1/22/2011,25,20
5/13/2012,10,24
7/30/2016,422,6
1/20/2012,170,4
10/24/2011,189,17
8/15/2013,17,1
2/21/2013,9,3
10/13/2010,2,16
2/28/2011,31,1
1/1/2012,82,10
12/25/2015,148,14
5/24/2016,1,nan
2/18/2014,34,12
9/27/2015,113,15
8/22/2017,1,nan
5/13/2015,1,nan
2/6/2017,1,nan
8/3/2011,59,12
11/27/2012,49,6
2/19/2012,95,22
2/19/2017,1,nan
1/9/2014,13,14
6/4/2016,158,7
6/20/2011,103,15
2/16/2012,215,16
4/6/2004,1,4
2/12/2012,63,5
10/28/2013,19,17
9/2/2013,6,20
3/9/2015,123,25
9/15/2015,224,12
12/27/2012,18,16
11/19/2015,377,16
8/15/2014,129,2
11/22/2015,1,nan
5/22/2015,150,7
4/26/2014,15,24
8/13/2016,467,4
12/13/2012,33,10
12/19/2016,137,11
7/29/2015,9,0
5/5/2015,288,8
1/16/2016,50,15
4/12/2011,89,9
4/30/2013,8,1
4/8/2016,2,31
2/21/2012,6,21
10/30/2011,192,6
2/2/2012,65,18
6/20/2017,73,3
5/31/2014,79,3
2/21/2012,1,0
2/3/2017,84,2
12/29/2015,29,20
6/18/2015,52,19
7/12/2016,1,nan
10/2/2015,83,1
3/23/2014,229,8
7/8/2008,1,4
1/4/2011,17,23
12/7/2015,430,22
6/1/2016,7,0
7/19/2017,83,14
1/17/2016,1,nan
9/24/2016,181,10
2/23/2014,1,0
3/27/2013,24,19
4/9/2016,144,25
7/6/2012,32,3
12/3/2010,22,3
4/25/2014,1,nan
3/8/2016,1,nan
1/2/2016,484,22
2/7/2014,17,24
12/19/2015,42,15
7/4/2011,353,16
