Date, Crime, Crime Type, PD
2016-03-08,3,ROBBERY,17
2016-02-07,3,DECEPTIVE PRACTICE,18
2016-03-03,6,BURGLARY,7
2016-02-29,8,BATTERY,3
2014-02-10,1,DECEPTIVE PRACTICE,7
2016-03-09,6,THEFT,19
2016-03-09,2,BATTERY,19
2016-03-09,12,BATTERY,10
2016-03-09,2,BATTERY,14
2016-03-09,1,CRIMINAL DAMAGE,15
2016-03-09,1,DECEPTIVE PRACTICE,6
2016-03-09,7,THEFT,16
2016-01-28,1,OTHER OFFENSE,16
2016-03-16,4,BURGLARY,4
2016-03-18,5,CRIMINAL DAMAGE,15
2016-02-09,5,DECEPTIVE PRACTICE,1
2014-06-22,1,DECEPTIVE PRACTICE,25
2016-02-16,3,DECEPTIVE PRACTICE,2
2013-08-14,1,DECEPTIVE PRACTICE,4
2016-03-04,1,DECEPTIVE PRACTICE,4
2016-04-18,3,ROBBERY,7
2016-04-18,21,THEFT,12
2016-03-10,12,BATTERY,11
2016-03-10,3,THEFT,11
2016-03-10,6,CRIMINAL DAMAGE,11
2016-03-10,11,BATTERY,7
2016-03-25,3,ASSAULT,14
2016-04-18,2,ASSAULT,9
2016-04-14,2,THEFT,12
2016-03-11,6,THEFT,5
2016-03-25,4,CRIMINAL DAMAGE,20
2016-03-11,3,THEFT,7
2016-03-24,3,BURGLARY,7
2015-03-06,9,NARCOTICS,11
2016-03-11,4,THEFT,16
2016-03-11,14,THEFT,12
2015-03-08,2,NARCOTICS,11
2016-03-11,4,CRIMINAL DAMAGE,6
2015-03-09,2,NARCOTICS,8
2016-03-11,9,THEFT,19
2015-03-10,5,NARCOTICS,11
2016-04-03,4,ASSAULT,14
2016-03-11,7,THEFT,22
2016-03-11,14,BATTERY,4
2015-03-10,1,NARCOTICS,6
2015-03-10,1,NARCOTICS,9
2015-07-29,1,NARCOTICS,9
2016-03-11,11,THEFT,2
2016-03-11,2,BATTERY,14
2015-10-05,1,DECEPTIVE PRACTICE,1
2016-01-21,1,CRIM SEXUAL ASSAULT,6
2016-02-17,2,OTHER OFFENSE,22
2015-01-01,1,DECEPTIVE PRACTICE,1
2016-02-10,6,DECEPTIVE PRACTICE,1
2016-03-12,7,BATTERY,2
2016-04-19,10,BATTERY,3
2016-01-08,1,THEFT,8
2016-02-18,7,CRIMINAL DAMAGE,16
2016-02-13,3,DECEPTIVE PRACTICE,19
2015-07-01,1,DECEPTIVE PRACTICE,24
2016-03-13,4,CRIMINAL DAMAGE,17
2016-03-14,1,PUBLIC PEACE VIOLATION,3
2016-03-14,4,BATTERY,3
2016-03-14,4,OTHER OFFENSE,16
2016-04-19,6,ASSAULT,11
2016-03-13,8,BATTERY,18
2015-09-25,1,DECEPTIVE PRACTICE,22
2015-09-09,1,DECEPTIVE PRACTICE,12
2016-03-25,3,OTHER OFFENSE,7
2015-08-17,1,THEFT,4
2016-02-25,4,THEFT,7
2015-06-01,2,ASSAULT,2
2016-03-13,13,THEFT,12
2016-04-19,1,CRIM SEXUAL ASSAULT,14
2016-03-13,2,DECEPTIVE PRACTICE,16
2016-03-13,1,BURGLARY,12
2016-03-30,11,BATTERY,7
2016-03-08,9,THEFT,18
2015-09-01,1,BATTERY,6
2016-02-16,6,THEFT,16
2015-10-01,1,THEFT,4
2016-03-02,2,DECEPTIVE PRACTICE,5
2016-02-18,3,DECEPTIVE PRACTICE,15
2013-05-11,1,DECEPTIVE PRACTICE,10
2015-10-23,2,HOMICIDE,6
2016-03-14,2,OTHER OFFENSE,7
2016-03-16,8,CRIMINAL DAMAGE,2
2016-03-16,3,ASSAULT,22
2016-03-16,6,ASSAULT,5
2013-08-01,1,DECEPTIVE PRACTICE,10
2016-02-04,2,DECEPTIVE PRACTICE,8
2016-03-11,4,DECEPTIVE PRACTICE,18
2014-05-14,1,DECEPTIVE PRACTICE,25
2016-03-18,11,BATTERY,3
2016-03-18,3,BURGLARY,15
2016-03-18,3,BURGLARY,2
2016-03-18,7,THEFT,2
2016-02-15,2,DECEPTIVE PRACTICE,10
2016-03-11,8,THEFT,11
2016-01-04,1,NON-CRIMINAL,19
2016-02-03,5,DECEPTIVE PRACTICE,1
2016-02-04,17,THEFT,1
2016-02-18,4,CRIMINAL DAMAGE,12
2016-02-23,14,THEFT,1
2016-03-19,2,ASSAULT,3
2016-03-19,3,ROBBERY,5
2014-01-01,1,OFFENSE INVOLVING CHILDREN,3
2016-03-20,6,DECEPTIVE PRACTICE,18
2016-03-09,2,DECEPTIVE PRACTICE,4
2016-02-03,3,OFFENSE INVOLVING CHILDREN,15
2016-02-27,1,NON-CRIMINAL,17
2016-03-15,5,OTHER OFFENSE,12
2015-06-30,2,NARCOTICS,11
2015-06-30,2,NARCOTICS,2
2016-02-13,1,OFFENSE INVOLVING CHILDREN,12
2014-06-01,1,SEX OFFENSE,8
2016-03-01,3,DECEPTIVE PRACTICE,5
2016-01-07,1,DECEPTIVE PRACTICE,19
2016-04-18,1,DECEPTIVE PRACTICE,24
2016-03-28,8,THEFT,8
2016-03-07,3,DECEPTIVE PRACTICE,22
2016-02-28,4,THEFT,12
2016-03-17,1,DECEPTIVE PRACTICE,5
2016-04-13,1,CRIMINAL DAMAGE,4
2016-03-15,12,THEFT,6
2016-02-27,1,DECEPTIVE PRACTICE,25
2014-11-24,1,CRIM SEXUAL ASSAULT,25
2016-03-22,1,CRIMINAL TRESPASS,10
2016-03-22,7,BURGLARY,19
2016-02-03,7,THEFT,10
2016-03-01,11,THEFT,14
2016-01-13,1,MOTOR VEHICLE THEFT,8
2016-03-13,8,BATTERY,10
2016-01-09,1,DECEPTIVE PRACTICE,14
2016-03-24,2,DECEPTIVE PRACTICE,16
2016-01-25,1,BURGLARY,24
2016-03-23,5,OTHER OFFENSE,5
2016-03-23,2,OTHER OFFENSE,6
2016-03-09,9,THEFT,18
2016-02-15,4,THEFT,15
2016-03-20,1,HOMICIDE,22
2016-02-28,3,OTHER OFFENSE,9
2016-03-09,5,OTHER OFFENSE,7
2016-02-26,4,DECEPTIVE PRACTICE,6
2016-01-19,1,DECEPTIVE PRACTICE,22
2016-03-29,4,CRIMINAL DAMAGE,19
2016-03-29,10,THEFT,2
2016-03-29,7,ASSAULT,11
2016-03-29,1,PUBLIC PEACE VIOLATION,24
2016-03-29,7,CRIMINAL DAMAGE,2
2016-03-31,2,ASSAULT,14
2016-03-31,3,ASSAULT,3
2016-03-31,3,ROBBERY,1
2016-03-19,8,THEFT,25
2014-11-11,1,DECEPTIVE PRACTICE,11
2016-04-01,8,BATTERY,7
2015-12-04,1,THEFT,16
2015-11-27,1,THEFT,16
2016-04-02,7,THEFT,17
2016-04-03,2,ROBBERY,15
2016-04-03,9,THEFT,16
2016-04-04,10,BATTERY,8
2016-04-04,5,CRIMINAL DAMAGE,3
2016-02-01,1,DECEPTIVE PRACTICE,4
2016-02-09,1,BURGLARY,12
2016-01-04,1,BURGLARY,6
2015-03-22,1,NARCOTICS,9
2015-04-06,1,NARCOTICS,16
2015-03-25,2,NARCOTICS,4
2015-03-31,1,NARCOTICS,11
2015-04-22,1,NARCOTICS,11
2015-03-26,1,NARCOTICS,3
2015-04-08,6,NARCOTICS,11
2015-04-26,1,NARCOTICS,11
2015-03-20,1,NARCOTICS,2
2016-04-05,1,ASSAULT,17
2016-04-06,2,DECEPTIVE PRACTICE,16
2016-04-06,2,OFFENSE INVOLVING CHILDREN,16
2016-04-07,9,CRIMINAL DAMAGE,11
2016-03-16,2,DECEPTIVE PRACTICE,22
2016-03-07,8,DECEPTIVE PRACTICE,16
2016-01-12,1,DECEPTIVE PRACTICE,9
2016-01-24,1,CRIM SEXUAL ASSAULT,16
2016-03-03,7,THEFT,19
2016-03-08,3,OTHER OFFENSE,19
2016-01-30,4,CRIMINAL DAMAGE,2
2016-01-31,9,THEFT,6
2016-01-30,4,DECEPTIVE PRACTICE,24
2016-01-31,1,WEAPONS VIOLATION,4
2016-01-30,8,BATTERY,25
2016-01-31,15,BATTERY,25
2016-01-31,4,ROBBERY,11
2016-01-30,6,BATTERY,10
2016-01-31,8,BATTERY,5
2016-01-31,5,CRIMINAL DAMAGE,6
2016-01-30,6,BATTERY,8
2016-01-31,12,BATTERY,8
2016-01-31,11,THEFT,12
2016-01-30,2,CRIMINAL DAMAGE,18
2016-01-31,15,THEFT,14
2016-01-31,3,OTHER OFFENSE,4
2016-01-30,1,THEFT,5
2016-01-31,1,BURGLARY,5
2016-01-31,7,NARCOTICS,11
2016-01-31,1,NARCOTICS,14
2016-01-31,4,BATTERY,24
2016-01-31,3,ROBBERY,19
2016-01-31,3,THEFT,24
2016-01-31,2,DECEPTIVE PRACTICE,18
2016-01-30,12,THEFT,12
2016-01-31,1,ASSAULT,5
2016-01-31,4,MOTOR VEHICLE THEFT,25
2016-01-31,4,THEFT,15
2016-01-30,7,CRIMINAL DAMAGE,8
2016-01-30,4,THEFT,8
2016-01-31,9,CRIMINAL DAMAGE,8
2016-01-31,10,THEFT,25
2016-01-31,6,CRIMINAL DAMAGE,25
2016-01-31,6,BATTERY,2
2016-01-31,5,ASSAULT,9
2016-01-31,1,ROBBERY,9
2016-01-31,4,ASSAULT,2
2016-01-30,2,DECEPTIVE PRACTICE,2
2016-01-31,3,MOTOR VEHICLE THEFT,12
2016-01-31,9,BATTERY,4
2016-04-15,2,NARCOTICS,12
2016-01-31,1,ASSAULT,11
2016-01-31,11,BATTERY,11
2016-01-31,1,OTHER OFFENSE,8
2016-01-31,5,BATTERY,6
2016-01-31,5,CRIMINAL DAMAGE,10
2016-01-30,7,THEFT,9
2016-01-30,6,THEFT,25
2016-01-30,12,THEFT,14
2016-01-30,5,CRIMINAL DAMAGE,12
2016-01-30,2,CRIMINAL DAMAGE,9
2016-01-30,3,BATTERY,5
2016-01-31,5,OTHER OFFENSE,9
2016-01-31,2,NARCOTICS,8
2016-04-15,1,OTHER OFFENSE,9
2016-01-31,4,MOTOR VEHICLE THEFT,11
2016-01-30,6,CRIMINAL DAMAGE,14
2016-01-30,7,CRIMINAL DAMAGE,4
2016-01-31,4,CRIMINAL DAMAGE,12
2016-01-31,10,THEFT,1
2016-01-31,9,THEFT,18
2016-01-31,6,CRIMINAL DAMAGE,11
2016-01-31,2,ROBBERY,3
2016-01-31,6,OTHER OFFENSE,25
2016-01-31,1,CRIMINAL TRESPASS,6
2016-04-15,13,THEFT,18
2016-01-31,6,ASSAULT,4
2016-01-30,1,BURGLARY,4
2016-01-31,3,DECEPTIVE PRACTICE,3
2016-04-15,1,WEAPONS VIOLATION,11
2016-01-30,2,MOTOR VEHICLE THEFT,9
2016-01-31,7,BATTERY,10
2016-01-31,9,BATTERY,3
2016-01-31,7,BATTERY,15
2016-01-31,5,THEFT,10
2016-01-30,1,ASSAULT,5
2016-01-31,7,BATTERY,12
2016-01-30,2,OTHER OFFENSE,8
2016-04-15,1,ASSAULT,17
2016-01-30,12,THEFT,19
2016-01-31,3,ASSAULT,6
2016-01-30,12,THEFT,18
2016-01-30,7,CRIMINAL DAMAGE,25
2016-01-31,1,MOTOR VEHICLE THEFT,22
2016-01-31,1,NARCOTICS,15
2016-01-31,4,CRIMINAL DAMAGE,19
2016-01-31,1,OTHER OFFENSE,18
2016-01-30,2,THEFT,24
2016-01-30,6,CRIMINAL DAMAGE,17
2016-01-30,1,OTHER OFFENSE,11
2016-01-31,5,MOTOR VEHICLE THEFT,6
2016-01-31,7,BATTERY,9
2016-01-30,4,THEFT,16
2016-01-31,3,OTHER OFFENSE,24
2016-01-31,1,MOTOR VEHICLE THEFT,1
2016-01-31,4,BATTERY,20
2016-01-30,3,ASSAULT,17
2016-01-30,1,DECEPTIVE PRACTICE,5
2016-01-31,1,CRIMINAL TRESPASS,25
2016-01-31,4,ASSAULT,25
2016-01-31,4,CRIMINAL DAMAGE,24
2016-01-30,1,MOTOR VEHICLE THEFT,4
2016-01-31,7,BURGLARY,8
2016-01-31,4,THEFT,7
2016-01-31,1,WEAPONS VIOLATION,9
2016-04-15,3,CRIMINAL DAMAGE,4
2016-01-31,6,THEFT,8
2016-01-31,6,CRIMINAL DAMAGE,9
2016-01-31,2,ASSAULT,24
2016-01-30,5,THEFT,6
2016-01-31,1,BURGLARY,24
2016-01-31,2,CRIMINAL DAMAGE,3
2016-01-31,10,BATTERY,14
2016-01-31,3,THEFT,4
2016-01-31,6,THEFT,17
2016-01-30,1,OTHER OFFENSE,12
2016-01-31,6,BATTERY,22
2016-01-30,1,THEFT,20
2016-01-31,3,ROBBERY,7
2016-01-31,2,BURGLARY,11
2016-04-15,3,CRIMINAL TRESPASS,4
2016-01-31,1,ROBBERY,5
2016-01-31,2,CRIMINAL DAMAGE,22
2016-01-31,9,BATTERY,19
2016-01-31,2,OFFENSE INVOLVING CHILDREN,6
2016-01-31,1,WEAPONS VIOLATION,10
2016-01-30,2,BURGLARY,10
2016-01-31,1,CRIMINAL TRESPASS,1
2016-01-31,9,THEFT,19
2016-01-31,4,CRIMINAL DAMAGE,2
2016-01-31,3,ROBBERY,25
2016-01-31,2,WEAPONS VIOLATION,3
2016-01-31,1,CRIMINAL TRESPASS,2
2016-01-31,2,OTHER OFFENSE,3
2016-01-31,2,OTHER OFFENSE,19
2016-04-15,3,WEAPONS VIOLATION,7
2016-01-31,6,THEFT,3
2016-01-30,6,BATTERY,7
2016-01-31,9,BATTERY,7
2016-01-31,6,CRIMINAL DAMAGE,7
2016-01-31,3,CRIMINAL DAMAGE,16
2016-01-31,4,ASSAULT,15
2016-01-31,1,CRIMINAL TRESPASS,12
2016-01-31,7,CRIMINAL DAMAGE,4
2016-01-31,4,BATTERY,16
2016-01-30,4,OTHER OFFENSE,2
2016-01-31,2,NARCOTICS,4
2016-01-31,3,MOTOR VEHICLE THEFT,5
2016-04-15,5,ASSAULT,25
2016-01-31,3,CRIMINAL DAMAGE,18
2016-01-30,7,BATTERY,4
2016-01-31,1,CRIMINAL TRESPASS,11
2016-01-31,1,DECEPTIVE PRACTICE,16
2016-01-31,1,CRIMINAL TRESPASS,5
2016-04-15,1,NARCOTICS,3
2016-01-30,2,OTHER OFFENSE,6
2016-01-30,2,DECEPTIVE PRACTICE,11
2016-01-31,1,WEAPONS VIOLATION,19
2016-01-31,3,OTHER OFFENSE,2
2016-01-31,2,ASSAULT,8
2016-01-31,1,CRIMINAL TRESPASS,16
2016-01-31,1,CRIM SEXUAL ASSAULT,7
2016-01-31,3,BATTERY,17
2016-01-31,2,ROBBERY,6
2016-01-30,2,BATTERY,24
2016-01-30,2,CRIMINAL DAMAGE,5
2016-01-31,1,OTHER OFFENSE,5
2016-01-31,4,ROBBERY,8
2016-01-31,2,ROBBERY,17
2016-01-31,1,DECEPTIVE PRACTICE,5
2016-01-30,2,CRIMINAL DAMAGE,11
2016-04-15,6,THEFT,11
2016-01-31,1,NARCOTICS,6
2016-01-31,5,BURGLARY,3
2016-01-31,2,BURGLARY,9
2016-04-15,3,BATTERY,20
2016-01-31,3,ROBBERY,10
2016-01-31,3,THEFT,22
2016-01-31,1,OTHER OFFENSE,22
2016-01-31,5,MOTOR VEHICLE THEFT,8
2016-01-30,2,MOTOR VEHICLE THEFT,25
2016-01-30,5,BATTERY,11
2016-01-31,1,PUBLIC PEACE VIOLATION,7
2016-04-15,3,NARCOTICS,10
2016-01-31,1,DECEPTIVE PRACTICE,2
2016-01-31,5,BATTERY,18
2016-01-31,1,CRIMINAL TRESPASS,20
2016-01-31,1,OTHER OFFENSE,20
2016-04-15,8,THEFT,19
2016-01-31,2,NARCOTICS,9
2016-01-31,1,OFFENSE INVOLVING CHILDREN,25
2016-04-15,5,DECEPTIVE PRACTICE,1
2016-01-31,1,ASSAULT,3
2016-01-31,1,OFFENSE INVOLVING CHILDREN,12
2016-01-31,4,OTHER OFFENSE,7
2016-01-31,1,ROBBERY,20
2016-04-15,15,THEFT,12
2016-04-15,4,ASSAULT,8
2016-04-15,4,BATTERY,4
2016-01-31,1,INTERFERENCE WITH PUBLIC OFFICER,11
2016-01-31,2,WEAPONS VIOLATION,7
2016-01-31,2,CRIMINAL DAMAGE,1
2016-01-31,1,ROBBERY,14
2016-01-31,1,NARCOTICS,7
2016-04-15,4,CRIMINAL DAMAGE,10
2016-01-30,3,CRIMINAL DAMAGE,7
2016-01-31,2,MOTOR VEHICLE THEFT,7
2016-01-31,6,THEFT,9
2016-01-30,5,BATTERY,9
2016-01-31,1,LIQUOR LAW VIOLATION,9
2016-01-31,2,OTHER OFFENSE,10
2016-01-31,1,CRIMINAL DAMAGE,15
2016-04-15,1,CRIMINAL DAMAGE,16
2016-01-30,2,BATTERY,19
2016-01-30,6,BATTERY,2
2016-04-15,5,THEFT,10
2016-01-30,6,BATTERY,6
2016-01-31,1,MOTOR VEHICLE THEFT,10
2016-01-31,1,OTHER OFFENSE,15
2016-01-31,1,ROBBERY,24
2016-01-31,1,THEFT,11
2016-01-31,2,ROBBERY,15
2016-01-30,3,BATTERY,18
2016-04-15,3,PUBLIC PEACE VIOLATION,3
2016-01-30,2,MOTOR VEHICLE THEFT,14
2016-01-31,1,KIDNAPPING,5
2016-01-30,7,DECEPTIVE PRACTICE,18
2016-04-15,3,BATTERY,10
2016-01-31,3,BURGLARY,25
2016-04-15,4,BATTERY,22
2016-01-31,2,ASSAULT,19
2016-01-31,1,MOTOR VEHICLE THEFT,9
2016-01-31,1,CRIMINAL TRESPASS,19
2016-04-15,3,OTHER OFFENSE,12
2016-01-31,3,THEFT,2
2016-01-30,1,OTHER OFFENSE,1
2016-01-30,2,DECEPTIVE PRACTICE,6
2016-04-15,2,OTHER OFFENSE,3
2016-01-30,8,DECEPTIVE PRACTICE,19
2016-04-15,5,OTHER OFFENSE,25
2016-04-15,2,NARCOTICS,15
2016-01-31,2,MOTOR VEHICLE THEFT,14
2016-01-30,1,DECEPTIVE PRACTICE,12
2016-04-15,4,THEFT,7
2016-04-15,3,NARCOTICS,25
2016-01-31,1,DECEPTIVE PRACTICE,22
2016-04-15,19,THEFT,1
2016-01-31,1,BURGLARY,7
2016-01-31,1,OFFENSE INVOLVING CHILDREN,8
2016-01-31,4,CRIMINAL DAMAGE,5
2016-01-30,3,CRIMINAL DAMAGE,16
2016-04-15,6,THEFT,5
2016-01-31,3,DECEPTIVE PRACTICE,19
2016-01-31,1,BURGLARY,1
2016-04-15,1,CRIMINAL DAMAGE,5
2016-01-31,1,MOTOR VEHICLE THEFT,24
2016-04-15,1,OTHER OFFENSE,5
2016-04-15,4,ASSAULT,10
2016-01-30,4,THEFT,4
2016-01-31,2,BURGLARY,10
2016-01-31,1,MOTOR VEHICLE THEFT,4
2016-01-31,3,ROBBERY,1
2016-04-15,3,DECEPTIVE PRACTICE,8
2016-04-15,1,CRIMINAL TRESPASS,15
2016-04-15,2,CRIMINAL DAMAGE,22
2016-01-31,2,DECEPTIVE PRACTICE,12
2016-01-31,2,THEFT,16
2016-01-31,3,CRIMINAL DAMAGE,14
2016-01-30,1,DECEPTIVE PRACTICE,4
2016-01-30,4,THEFT,3
2016-01-31,1,CRIM SEXUAL ASSAULT,6
2016-01-30,1,BATTERY,20
2016-01-30,3,DECEPTIVE PRACTICE,1
2016-01-30,1,CRIMINAL DAMAGE,20
2016-01-31,2,MOTOR VEHICLE THEFT,15
2016-01-29,2,OFFENSE INVOLVING CHILDREN,5
2016-01-30,3,BURGLARY,9
2016-04-15,4,ASSAULT,19
2016-04-15,8,THEFT,6
2016-04-15,5,CRIMINAL DAMAGE,12
2016-04-15,1,NARCOTICS,24
2016-04-15,1,ASSAULT,22
2016-04-15,1,INTERFERENCE WITH PUBLIC OFFICER,25
2016-04-15,3,CRIMINAL DAMAGE,14
2016-04-15,6,THEFT,2
2016-04-15,1,OFFENSE INVOLVING CHILDREN,18
2016-04-15,4,CRIMINAL DAMAGE,6
2016-04-15,4,THEFT,17
2016-04-15,7,BATTERY,12
2016-04-15,4,BATTERY,14
2016-04-15,2,CRIMINAL DAMAGE,9
2016-04-15,2,NARCOTICS,5
2016-04-15,4,NARCOTICS,11
2016-04-15,2,ASSAULT,7
2015-12-05,2,DECEPTIVE PRACTICE,7
2015-05-05,1,THEFT,19
2016-04-15,3,BATTERY,7
2016-04-15,4,BATTERY,11
2015-03-01,2,THEFT,9
2015-12-01,1,OTHER OFFENSE,16
2015-10-17,1,THEFT,11
2016-04-15,3,CRIMINAL DAMAGE,7
2016-04-15,2,BURGLARY,7
2016-01-05,1,BURGLARY,2
2016-04-15,8,THEFT,14
2016-01-02,1,DECEPTIVE PRACTICE,11
2013-07-01,1,SEX OFFENSE,7
2016-01-02,1,DECEPTIVE PRACTICE,6
2015-12-17,1,DECEPTIVE PRACTICE,7
2015-04-29,1,DECEPTIVE PRACTICE,7
2015-12-16,2,DECEPTIVE PRACTICE,6
2016-04-15,3,ASSAULT,11
2016-04-15,2,DECEPTIVE PRACTICE,6
2016-04-15,1,BURGLARY,9
2016-04-15,3,CRIMINAL DAMAGE,19
2013-06-01,1,DECEPTIVE PRACTICE,10
2016-01-24,1,WEAPONS VIOLATION,20
2016-01-07,6,THEFT,12
2015-09-20,1,THEFT,5
2015-12-22,1,ASSAULT,7
2015-09-15,2,DECEPTIVE PRACTICE,4
2015-12-10,1,OTHER OFFENSE,24
2015-11-11,1,DECEPTIVE PRACTICE,12
2015-07-01,2,DECEPTIVE PRACTICE,19
2015-12-28,1,THEFT,1
2016-01-08,1,ASSAULT,12
2016-04-15,1,CRIMINAL TRESPASS,3
2016-04-15,1,CRIMINAL TRESPASS,5
2016-04-15,5,CRIMINAL DAMAGE,8
2016-01-01,1,THEFT,4
2016-01-07,1,DECEPTIVE PRACTICE,5
2016-04-15,1,CRIMINAL TRESPASS,22
2016-01-06,1,THEFT,18
2015-06-01,2,THEFT,5
2015-01-30,1,DECEPTIVE PRACTICE,4
2016-04-15,2,BATTERY,19
2016-04-15,2,BATTERY,16
2016-04-15,4,BATTERY,3
2016-04-15,3,MOTOR VEHICLE THEFT,12
2016-01-10,1,DECEPTIVE PRACTICE,3
2013-12-13,1,DECEPTIVE PRACTICE,6
2015-08-15,2,BURGLARY,5
2015-12-31,1,THEFT,19
2015-12-20,1,MOTOR VEHICLE THEFT,3
2015-06-20,1,CRIM SEXUAL ASSAULT,2
2015-12-01,1,DECEPTIVE PRACTICE,18
2015-12-29,1,THEFT,19
2016-04-15,3,BURGLARY,19
2016-04-15,9,THEFT,8
2016-01-30,1,HOMICIDE,7
2016-01-30,2,HOMICIDE,11
2016-01-22,1,BATTERY,4
2016-02-13,4,CRIMINAL DAMAGE,3
2016-02-13,16,THEFT,1
2016-02-13,4,MOTOR VEHICLE THEFT,2
2016-02-13,7,THEFT,3
2016-02-13,4,THEFT,8
2015-12-20,1,THEFT,12
2015-12-03,1,DECEPTIVE PRACTICE,20
2015-10-03,1,OTHER OFFENSE,24
2016-04-15,1,WEAPONS VIOLATION,2
2016-02-01,5,ROBBERY,3
2016-02-01,9,BATTERY,6
2016-02-01,13,THEFT,18
2016-02-01,6,BATTERY,12
2016-02-01,6,BATTERY,25
2016-02-01,1,PUBLIC PEACE VIOLATION,24
2016-02-01,3,DECEPTIVE PRACTICE,14
2016-02-01,10,THEFT,19
2016-02-01,9,BATTERY,8
2016-02-01,4,ASSAULT,7
2016-02-01,2,ASSAULT,24
2016-02-01,1,CRIMINAL TRESPASS,4
2016-02-01,3,MOTOR VEHICLE THEFT,17
2016-02-01,1,WEAPONS VIOLATION,10
2016-02-01,8,BATTERY,15
2016-02-01,7,THEFT,17
2016-02-01,4,MOTOR VEHICLE THEFT,6
2016-02-01,16,BATTERY,11
2016-02-01,4,BATTERY,9
2016-02-01,6,ASSAULT,9
2016-02-01,1,CRIM SEXUAL ASSAULT,1
2016-02-01,5,BURGLARY,6
2016-04-15,5,THEFT,9
2016-02-01,4,BATTERY,19
2016-02-01,1,NARCOTICS,19
2016-02-01,4,DECEPTIVE PRACTICE,5
2016-02-01,1,BATTERY,1
2016-02-01,4,BATTERY,16
2016-02-01,5,CRIMINAL DAMAGE,10
2016-02-01,1,ROBBERY,1
2016-02-01,5,BURGLARY,14
2016-02-01,1,CRIM SEXUAL ASSAULT,25
2016-02-01,3,CRIMINAL DAMAGE,5
2016-02-01,6,BATTERY,10
2016-02-01,1,NARCOTICS,3
2016-02-01,2,BATTERY,20
2016-02-01,8,CRIMINAL DAMAGE,8
2016-02-01,9,THEFT,25
2016-02-01,3,ASSAULT,11
2016-02-01,2,NARCOTICS,5
2016-02-01,3,CRIMINAL DAMAGE,20
2016-02-01,3,MOTOR VEHICLE THEFT,22
2016-02-01,4,THEFT,3
2016-04-15,1,ROBBERY,17
2016-02-01,4,ASSAULT,12
2016-02-01,4,MOTOR VEHICLE THEFT,25
2016-02-01,2,THEFT,20
2016-02-01,2,THEFT,15
2016-02-01,6,THEFT,8
2016-02-01,1,ASSAULT,8
2016-02-01,2,DECEPTIVE PRACTICE,11
2016-02-01,9,BATTERY,7
2016-02-01,4,OTHER OFFENSE,7
2016-02-01,4,ASSAULT,5
2016-02-01,2,MOTOR VEHICLE THEFT,7
2016-02-01,1,MOTOR VEHICLE THEFT,20
2015-05-29,1,BATTERY,2
2015-11-14,1,BATTERY,4
2015-12-13,1,ASSAULT,3
2015-12-12,1,THEFT,9
2016-01-09,1,BATTERY,11
2016-01-12,1,BURGLARY,4
